,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
  63800,2022-10-26T22:23:39.678+02:00,   0.199E-01,   1379.86,   0.439E+04
  63900,2022-10-26T22:23:46.568+02:00,   0.208E-01,   1382.03,   0.440E+04
  64000,2022-10-26T22:23:53.451+02:00,   0.205E-01,   1384.26,   0.440E+04
  64100,2022-10-26T22:24:00.310+02:00,   0.217E-01,   1386.56,   0.441E+04
  64200,2022-10-26T22:24:07.210+02:00,   0.212E-01,   1388.74,   0.442E+04
  64300,2022-10-26T22:24:14.120+02:00,   0.201E-01,   1390.94,   0.442E+04
  64400,2022-10-26T22:24:21.007+02:00,   0.195E-01,   1393.18,   0.443E+04
  64500,2022-10-26T22:24:27.901+02:00,   0.223E-01,   1395.29,   0.444E+04
  64600,2022-10-26T22:24:34.776+02:00,   0.235E-01,   1397.48,   0.444E+04
  64700,2022-10-26T22:24:41.666+02:00,   0.225E-01,   1399.67,   0.445E+04
  64800,2022-10-26T22:24:48.538+02:00,   0.222E-01,   1401.77,   0.446E+04
  64900,2022-10-26T22:24:55.393+02:00,   0.209E-01,   1403.82,   0.447E+04
  65000,2022-10-26T22:25:02.272+02:00,   0.188E-01,   1405.88,   0.447E+04
  65100,2022-10-26T22:25:09.164+02:00,   0.202E-01,   1407.90,   0.448E+04
  65200,2022-10-26T22:25:15.998+02:00,   0.219E-01,   1409.80,   0.449E+04
  65300,2022-10-26T22:25:22.894+02:00,   0.212E-01,   1412.03,   0.449E+04
  65400,2022-10-26T22:25:29.784+02:00,   0.210E-01,   1414.26,   0.450E+04
  65500,2022-10-26T22:25:36.639+02:00,   0.186E-01,   1416.37,   0.451E+04
  65600,2022-10-26T22:25:43.483+02:00,   0.201E-01,   1418.53,   0.451E+04
  65700,2022-10-26T22:25:50.370+02:00,   0.218E-01,   1420.64,   0.452E+04
  65800,2022-10-26T22:25:57.247+02:00,   0.215E-01,   1422.74,   0.453E+04
  65900,2022-10-26T22:26:04.160+02:00,   0.179E-01,   1424.93,   0.453E+04
  66000,2022-10-26T22:26:11.050+02:00,   0.206E-01,   1426.94,   0.454E+04
  66100,2022-10-26T22:26:17.917+02:00,   0.224E-01,   1429.05,   0.455E+04
  66200,2022-10-26T22:26:24.784+02:00,   0.221E-01,   1431.16,   0.455E+04
  66300,2022-10-26T22:26:31.678+02:00,   0.213E-01,   1433.34,   0.456E+04
  66400,2022-10-26T22:26:38.545+02:00,   0.199E-01,   1435.38,   0.457E+04
  66500,2022-10-26T22:26:45.415+02:00,   0.193E-01,   1437.31,   0.458E+04
  66600,2022-10-26T22:26:52.280+02:00,   0.230E-01,   1439.38,   0.458E+04
  66700,2022-10-26T22:26:59.156+02:00,   0.223E-01,   1441.52,   0.459E+04
  66800,2022-10-26T22:27:06.049+02:00,   0.241E-01,   1443.83,   0.460E+04
  66900,2022-10-26T22:27:12.996+02:00,   0.207E-01,   1446.05,   0.460E+04
  67000,2022-10-26T22:27:19.868+02:00,   0.218E-01,   1448.24,   0.461E+04
  67100,2022-10-26T22:27:26.746+02:00,   0.212E-01,   1450.40,   0.462E+04
  67200,2022-10-26T22:27:33.609+02:00,   0.210E-01,   1452.60,   0.462E+04
  67300,2022-10-26T22:27:40.517+02:00,   0.222E-01,   1454.74,   0.463E+04
  67400,2022-10-26T22:27:47.393+02:00,   0.219E-01,   1457.03,   0.464E+04
  67500,2022-10-26T22:27:54.273+02:00,   0.219E-01,   1459.22,   0.464E+04
  67600,2022-10-26T22:28:01.177+02:00,   0.190E-01,   1461.24,   0.465E+04
  67700,2022-10-26T22:28:08.019+02:00,   0.228E-01,   1463.23,   0.466E+04
  67800,2022-10-26T22:28:14.910+02:00,   0.203E-01,   1465.43,   0.466E+04
  67900,2022-10-26T22:28:21.823+02:00,   0.200E-01,   1467.59,   0.467E+04
  68000,2022-10-26T22:28:28.665+02:00,   0.242E-01,   1469.77,   0.468E+04
  68100,2022-10-26T22:28:35.576+02:00,   0.210E-01,   1471.90,   0.469E+04
  68200,2022-10-26T22:28:42.430+02:00,   0.231E-01,   1474.02,   0.469E+04
  68300,2022-10-26T22:28:49.297+02:00,   0.208E-01,   1476.31,   0.470E+04
  68400,2022-10-26T22:28:56.160+02:00,   0.205E-01,   1478.28,   0.471E+04
  68500,2022-10-26T22:29:03.011+02:00,   0.220E-01,   1480.52,   0.471E+04
  68600,2022-10-26T22:29:09.871+02:00,   0.198E-01,   1482.69,   0.472E+04
  68700,2022-10-26T22:29:16.748+02:00,   0.239E-01,   1484.92,   0.473E+04
  68800,2022-10-26T22:29:23.648+02:00,   0.211E-01,   1487.17,   0.473E+04
  68900,2022-10-26T22:29:30.540+02:00,   0.206E-01,   1489.24,   0.474E+04
  69000,2022-10-26T22:29:37.448+02:00,   0.219E-01,   1491.32,   0.475E+04
  69100,2022-10-26T22:29:44.355+02:00,   0.189E-01,   1493.42,   0.475E+04
  69200,2022-10-26T22:29:51.241+02:00,   0.245E-01,   1495.49,   0.476E+04
  69300,2022-10-26T22:29:58.107+02:00,   0.217E-01,   1497.65,   0.477E+04
  69400,2022-10-26T22:30:04.973+02:00,   0.209E-01,   1499.94,   0.478E+04
  69500,2022-10-26T22:30:11.846+02:00,   0.227E-01,   1502.12,   0.478E+04
  69600,2022-10-26T22:30:18.730+02:00,   0.200E-01,   1504.25,   0.479E+04
  69700,2022-10-26T22:30:25.592+02:00,   0.228E-01,   1506.36,   0.480E+04
  69800,2022-10-26T22:30:32.490+02:00,   0.217E-01,   1508.40,   0.480E+04
  69900,2022-10-26T22:30:39.387+02:00,   0.199E-01,   1510.56,   0.481E+04
  70000,2022-10-26T22:30:46.276+02:00,   0.195E-01,   1512.66,   0.482E+04
  70100,2022-10-26T22:30:53.162+02:00,   0.206E-01,   1514.81,   0.482E+04
  70200,2022-10-26T22:31:00.038+02:00,   0.224E-01,   1516.77,   0.483E+04
  70300,2022-10-26T22:31:06.922+02:00,   0.195E-01,   1518.92,   0.484E+04
  70400,2022-10-26T22:31:13.774+02:00,   0.209E-01,   1520.87,   0.484E+04
  70500,2022-10-26T22:31:20.645+02:00,   0.222E-01,   1522.93,   0.485E+04
  70600,2022-10-26T22:31:27.518+02:00,   0.216E-01,   1525.10,   0.486E+04
  70700,2022-10-26T22:31:34.385+02:00,   0.205E-01,   1527.21,   0.486E+04
  70800,2022-10-26T22:31:41.271+02:00,   0.218E-01,   1529.33,   0.487E+04
  70900,2022-10-26T22:31:48.144+02:00,   0.211E-01,   1531.52,   0.488E+04
  71000,2022-10-26T22:31:55.016+02:00,   0.207E-01,   1533.75,   0.489E+04
  71100,2022-10-26T22:32:01.878+02:00,   0.228E-01,   1535.97,   0.489E+04
  71200,2022-10-26T22:32:08.747+02:00,   0.225E-01,   1538.19,   0.490E+04
  71300,2022-10-26T22:32:15.591+02:00,   0.221E-01,   1540.51,   0.491E+04
  71400,2022-10-26T22:32:22.495+02:00,   0.216E-01,   1542.53,   0.491E+04
  71500,2022-10-26T22:32:29.379+02:00,   0.189E-01,   1544.55,   0.492E+04
  71600,2022-10-26T22:32:36.229+02:00,   0.202E-01,   1546.60,   0.493E+04
  71700,2022-10-26T22:32:43.108+02:00,   0.199E-01,   1548.69,   0.493E+04
  71800,2022-10-26T22:32:50.003+02:00,   0.214E-01,   1550.83,   0.494E+04
  71900,2022-10-26T22:32:56.876+02:00,   0.232E-01,   1553.06,   0.495E+04
  72000,2022-10-26T22:33:03.799+02:00,   0.203E-01,   1555.20,   0.495E+04
  72100,2022-10-26T22:33:10.670+02:00,   0.221E-01,   1557.25,   0.496E+04
  72200,2022-10-26T22:33:17.528+02:00,   0.209E-01,   1559.24,   0.497E+04
  72300,2022-10-26T22:33:24.427+02:00,   0.241E-01,   1561.54,   0.497E+04
  72400,2022-10-26T22:33:31.312+02:00,   0.214E-01,   1563.63,   0.498E+04
  72500,2022-10-26T22:33:38.158+02:00,   0.210E-01,   1565.80,   0.499E+04
  72600,2022-10-26T22:33:45.040+02:00,   0.228E-01,   1567.93,   0.500E+04
  72700,2022-10-26T22:33:51.930+02:00,   0.217E-01,   1570.18,   0.500E+04
  72800,2022-10-26T22:33:58.815+02:00,   0.215E-01,   1572.40,   0.501E+04
  72900,2022-10-26T22:34:05.712+02:00,   0.252E-01,   1574.67,   0.502E+04
  73000,2022-10-26T22:34:12.584+02:00,   0.199E-01,   1576.90,   0.502E+04
  73100,2022-10-26T22:34:19.455+02:00,   0.215E-01,   1578.98,   0.503E+04
  73200,2022-10-26T22:34:26.410+02:00,   0.191E-01,   1581.10,   0.504E+04
  73300,2022-10-26T22:34:33.256+02:00,   0.210E-01,   1583.09,   0.504E+04
  73400,2022-10-26T22:34:40.133+02:00,   0.208E-01,   1585.24,   0.505E+04
  73500,2022-10-26T22:34:47.005+02:00,   0.181E-01,   1587.34,   0.506E+04
  73600,2022-10-26T22:34:53.851+02:00,   0.219E-01,   1589.49,   0.506E+04
  73700,2022-10-26T22:35:00.699+02:00,   0.216E-01,   1591.61,   0.507E+04
  73800,2022-10-26T22:35:07.612+02:00,   0.190E-01,   1593.65,   0.508E+04
  73900,2022-10-26T22:35:14.472+02:00,   0.230E-01,   1595.71,   0.508E+04
  74000,2022-10-26T22:35:21.329+02:00,   0.206E-01,   1597.78,   0.509E+04
  74100,2022-10-26T22:35:28.225+02:00,   0.224E-01,   1599.74,   0.510E+04
  74200,2022-10-26T22:35:35.134+02:00,   0.192E-01,   1601.70,   0.511E+04
  74300,2022-10-26T22:35:42.042+02:00,   0.200E-01,   1603.78,   0.511E+04
  74400,2022-10-26T22:35:48.917+02:00,   0.197E-01,   1605.82,   0.512E+04
  74500,2022-10-26T22:35:55.794+02:00,   0.236E-01,   1608.01,   0.513E+04
  74600,2022-10-26T22:36:02.690+02:00,   0.190E-01,   1610.08,   0.513E+04
  74700,2022-10-26T22:36:09.552+02:00,   0.229E-01,   1612.16,   0.514E+04
  74800,2022-10-26T22:36:16.441+02:00,   0.210E-01,   1614.37,   0.515E+04
  74900,2022-10-26T22:36:23.372+02:00,   0.210E-01,   1616.52,   0.515E+04
  75000,2022-10-26T22:36:30.288+02:00,   0.199E-01,   1618.68,   0.516E+04
  75100,2022-10-26T22:36:37.174+02:00,   0.226E-01,   1620.87,   0.517E+04
  75200,2022-10-26T22:36:44.062+02:00,   0.220E-01,   1622.93,   0.517E+04
  75300,2022-10-26T22:36:50.956+02:00,   0.207E-01,   1624.91,   0.518E+04
  75400,2022-10-26T22:36:57.836+02:00,   0.224E-01,   1627.01,   0.519E+04
  75500,2022-10-26T22:37:04.725+02:00,   0.200E-01,   1629.22,   0.519E+04
  75600,2022-10-26T22:37:11.597+02:00,   0.217E-01,   1631.29,   0.520E+04
  75700,2022-10-26T22:37:18.491+02:00,   0.210E-01,   1633.41,   0.521E+04
  75800,2022-10-26T22:37:25.338+02:00,   0.229E-01,   1635.49,   0.522E+04
  75900,2022-10-26T22:37:32.216+02:00,   0.242E-01,   1637.77,   0.522E+04
  76000,2022-10-26T22:37:39.107+02:00,   0.211E-01,   1640.04,   0.523E+04
  76100,2022-10-26T22:37:45.945+02:00,   0.209E-01,   1642.16,   0.524E+04
  76200,2022-10-26T22:37:52.824+02:00,   0.198E-01,   1644.27,   0.524E+04
  76300,2022-10-26T22:37:59.661+02:00,   0.213E-01,   1646.18,   0.525E+04
  76400,2022-10-26T22:38:06.532+02:00,   0.230E-01,   1648.16,   0.526E+04
  76500,2022-10-26T22:38:13.448+02:00,   0.220E-01,   1650.45,   0.526E+04
  76600,2022-10-26T22:38:20.319+02:00,   0.239E-01,   1652.62,   0.527E+04
  76700,2022-10-26T22:38:27.224+02:00,   0.211E-01,   1654.80,   0.528E+04
  76800,2022-10-26T22:38:34.119+02:00,   0.203E-01,   1656.89,   0.528E+04
  76900,2022-10-26T22:38:40.982+02:00,   0.199E-01,   1659.03,   0.529E+04
  77000,2022-10-26T22:38:47.854+02:00,   0.195E-01,   1661.08,   0.530E+04
  77100,2022-10-26T22:38:54.768+02:00,   0.210E-01,   1663.24,   0.530E+04
  77200,2022-10-26T22:39:01.642+02:00,   0.248E-01,   1665.30,   0.531E+04
  77300,2022-10-26T22:39:08.539+02:00,   0.234E-01,   1667.41,   0.532E+04
  77400,2022-10-26T22:39:15.436+02:00,   0.208E-01,   1669.56,   0.533E+04
  77500,2022-10-26T22:39:22.287+02:00,   0.208E-01,   1671.64,   0.533E+04
  77600,2022-10-26T22:39:29.187+02:00,   0.222E-01,   1673.68,   0.534E+04
  77700,2022-10-26T22:39:36.073+02:00,   0.199E-01,   1675.80,   0.535E+04
  77800,2022-10-26T22:39:42.955+02:00,   0.194E-01,   1677.90,   0.535E+04
  77900,2022-10-26T22:39:49.804+02:00,   0.214E-01,   1680.00,   0.536E+04
  78000,2022-10-26T22:39:56.670+02:00,   0.235E-01,   1682.21,   0.537E+04
  78100,2022-10-26T22:40:03.562+02:00,   0.205E-01,   1684.35,   0.537E+04
  78200,2022-10-26T22:40:10.481+02:00,   0.196E-01,   1686.33,   0.538E+04
  78300,2022-10-26T22:40:17.338+02:00,   0.213E-01,   1688.38,   0.539E+04
  78400,2022-10-26T22:40:24.196+02:00,   0.240E-01,   1690.63,   0.539E+04
  78500,2022-10-26T22:40:31.054+02:00,   0.213E-01,   1692.86,   0.540E+04
  78600,2022-10-26T22:40:37.944+02:00,   0.191E-01,   1694.99,   0.541E+04
  78700,2022-10-26T22:40:44.805+02:00,   0.228E-01,   1697.08,   0.541E+04
  78800,2022-10-26T22:40:51.733+02:00,   0.188E-01,   1699.23,   0.542E+04
  78900,2022-10-26T22:40:58.613+02:00,   0.203E-01,   1701.30,   0.543E+04
  79000,2022-10-26T22:41:05.483+02:00,   0.240E-01,   1703.46,   0.544E+04
  79100,2022-10-26T22:41:12.375+02:00,   0.212E-01,   1705.74,   0.544E+04
  79200,2022-10-26T22:41:19.282+02:00,   0.203E-01,   1707.95,   0.545E+04
  79300,2022-10-26T22:41:26.154+02:00,   0.197E-01,   1709.97,   0.546E+04
  79400,2022-10-26T22:41:33.000+02:00,   0.213E-01,   1712.12,   0.546E+04
  79500,2022-10-26T22:41:39.918+02:00,   0.229E-01,   1714.26,   0.547E+04
  79600,2022-10-26T22:41:46.798+02:00,   0.226E-01,   1716.38,   0.548E+04
  79700,2022-10-26T22:41:53.665+02:00,   0.223E-01,   1718.68,   0.548E+04
  79800,2022-10-26T22:42:00.540+02:00,   0.253E-01,   1720.70,   0.549E+04
  79900,2022-10-26T22:42:07.403+02:00,   0.201E-01,   1722.80,   0.550E+04
  80000,2022-10-26T22:42:14.268+02:00,   0.198E-01,   1724.74,   0.550E+04
  80100,2022-10-26T22:42:21.142+02:00,   0.198E-01,   1726.72,   0.551E+04
  80200,2022-10-26T22:42:28.015+02:00,   0.213E-01,   1728.74,   0.552E+04
  80300,2022-10-26T22:42:34.894+02:00,   0.187E-01,   1730.67,   0.552E+04
  80400,2022-10-26T22:42:41.814+02:00,   0.199E-01,   1732.80,   0.553E+04
  80500,2022-10-26T22:42:48.673+02:00,   0.213E-01,   1734.85,   0.554E+04
  80600,2022-10-26T22:42:55.510+02:00,   0.213E-01,   1736.98,   0.555E+04
  80700,2022-10-26T22:43:02.412+02:00,   0.207E-01,   1739.11,   0.555E+04
  80800,2022-10-26T22:43:09.291+02:00,   0.204E-01,   1741.21,   0.556E+04
  80900,2022-10-26T22:43:16.148+02:00,   0.204E-01,   1743.25,   0.557E+04
  81000,2022-10-26T22:43:23.025+02:00,   0.179E-01,   1745.37,   0.557E+04
  81100,2022-10-26T22:43:29.891+02:00,   0.236E-01,   1747.53,   0.558E+04
  81200,2022-10-26T22:43:36.774+02:00,   0.205E-01,   1749.67,   0.559E+04
  81300,2022-10-26T22:43:43.662+02:00,   0.216E-01,   1751.80,   0.559E+04
  81400,2022-10-26T22:43:50.563+02:00,   0.208E-01,   1754.02,   0.560E+04
  81500,2022-10-26T22:43:57.444+02:00,   0.244E-01,   1756.26,   0.561E+04
  81600,2022-10-26T22:44:04.360+02:00,   0.210E-01,   1758.45,   0.561E+04
  81700,2022-10-26T22:44:11.231+02:00,   0.185E-01,   1760.47,   0.562E+04
  81800,2022-10-26T22:44:18.112+02:00,   0.200E-01,   1762.59,   0.563E+04
  81900,2022-10-26T22:44:24.982+02:00,   0.239E-01,   1764.71,   0.564E+04
  82000,2022-10-26T22:44:31.861+02:00,   0.190E-01,   1766.83,   0.564E+04
  82100,2022-10-26T22:44:38.715+02:00,   0.209E-01,   1768.92,   0.565E+04
  82200,2022-10-26T22:44:45.619+02:00,   0.226E-01,   1771.14,   0.566E+04
  82300,2022-10-26T22:44:52.491+02:00,   0.201E-01,   1773.23,   0.566E+04
  82400,2022-10-26T22:44:59.379+02:00,   0.212E-01,   1775.38,   0.567E+04
  82500,2022-10-26T22:45:06.242+02:00,   0.206E-01,   1777.57,   0.568E+04
  82600,2022-10-26T22:45:13.107+02:00,   0.202E-01,   1779.75,   0.568E+04
  82700,2022-10-26T22:45:19.960+02:00,   0.244E-01,   1781.81,   0.569E+04
  82800,2022-10-26T22:45:26.869+02:00,   0.208E-01,   1783.94,   0.570E+04
  82900,2022-10-26T22:45:33.748+02:00,   0.205E-01,   1786.10,   0.570E+04
  83000,2022-10-26T22:45:40.623+02:00,   0.201E-01,   1788.25,   0.571E+04
  83100,2022-10-26T22:45:47.540+02:00,   0.211E-01,   1790.39,   0.572E+04
  83200,2022-10-26T22:45:54.416+02:00,   0.229E-01,   1792.54,   0.572E+04
  83300,2022-10-26T22:46:01.317+02:00,   0.200E-01,   1794.54,   0.573E+04
  83400,2022-10-26T22:46:08.199+02:00,   0.196E-01,   1796.58,   0.574E+04
  83500,2022-10-26T22:46:15.074+02:00,   0.210E-01,   1798.74,   0.575E+04
  83555,2022-10-26T22:46:18.842+02:00,   0.261E-02,   1800.00,   0.575E+04
